id,region_id,tipo_delegacion_id,nomenclatura_id,num_delegacional,clave_delegacion,nivel_id,sede_delegacional,fecha_inicio_delegacional,fecha_final_delegacional,direccion_delegacional,cp_delegacional,ciudad_delegacional,estado_delegacional
2,1,1,2,59,D-II-59,36,PANUCO,08/02/2023,08/02/2025,VENUSTIANO CARRANZA,93990,PÁNUCO,VERACRUZ
3,2,1,3,13,D-III-13,19,TUXPAN,10/02/2023,10/02/2026,CUAUHTEMOC 56 COLONIA DEL VALLE,92860,TUXPAN,VERACRUZ
4,2,1,2,20,D-II-20,39,TUXPAN,44971,46067,AV. CUAUHTEMOC NUM. 57 COLONIA DEL VALLE,92,TUXPAN,VERACRUZ
5,4,1,1,77,D-I-77,35,JUCHIQUE DE FERRER,44967,46063,MIGUEL HIDALGO,91440,JUCHIQUE DE FERRER,VERACRUZ
6,2,1,1,94,D-I-94,35,TAMIAHUA,44970,46066,AV. MIGUEL HIDALGO NO. 45 ZONA SUR,92560,TAMIAHUA,VERACRUZ
7,6,1,1,08,D-I-08,35,CARDEL,44964,46060,ENRIQUE C. RÉBSAMEN #55 COL. MAGISTERIAL,91653,JOSÉ CARDEL,VERACRUZ
8,2,1,1,09,D-I-09,35,CERRO AZUL,44967,46063,CARRETERA CERRO AZUL LOC. LA MORA,92540,CERRO AZUL,VERACRUZ
9,2,1,2,22,D-II-22,39,NARANJOS,44971,46067,CALLE CHONTLA  S/N. FRACCIONAMIENTO NUEVO NARANJOS,92310,NARANJOS AMATLÁN,VERACRUZ
10,7,1,2,31,D-II-31,39,COSCOMATEPEC,44972,46068,PRIVADA 2 NORTE SN,94470,FORTÍN,VERACRUZ
11,1,1,2,35,D-II-35,39,TANTOYUCA,44974,46070,"AV. REVOLUCIÓN S/N, COL. 10 DE MAYO",92122,TANTOYUCA,VERACRUZ
12,2,1,2,53,D-II-53,22,TUXPAN,44971,46067,"CUAUHTEMOC  #56, COL DEL VALLE",92800,TUXPAN,VERACRUZ
13,2,1,1,57,D-I-57,35,TUXPAN,44967,46063,AV. CUAUHTEMOC NO. 56 COL. DEL VALLE,92870,TUXPAN,VERACRUZ
